Word:,Definition:
precedent,A court decision in an earlier case with facts and legal issues similar to a dispute currently before a court.
pretrial services,A function of the federal courts that takes place at the very start of the criminal justice process after a person has been arrested and charged with a federal crime and before he or she goes to trial.
prima facie,Presumed to be true unless disproved by contrary evidence.
pro se,"Refers to persons that present their own cases in court without lawyers; from the Latin for ""on one's own behalf."""
pro tem,Temporary.
probate,Proving up a will before the probate courts.  In Texas it can also mean the general administration of the estate of the decedent.
probation,Sentencing option in the federal courts.
probation officer,"Officers of the probation office of a court. Probation officer duties include conducting presentence investigations, preparing presentence reports on convicted defendants, and supervising released defendants. "
process server,"Any person over 18, not directly involved in the case, who will deliver the citation and a copy of the plaintiff's complaint, and later return to the court an affidavit that he or she has completed service."
prosecute,To charge someone with a crime. A prosecutor tries a criminal case on behalf of the government.
protective order,Non-criminal court order obtained by the victim of family violence against the perpetrator of family violence.
punitive damages,Money awarded in a legal case that is above the real cost of the injury. It is meant to punish a losing party for willful or malicious misconduct.
putative father,The person said to be the father of a child but who has not yet been medically or legally declared to be the legal father.
Qualified Domestic Relations Order (QDRO),"An order or judgment issued by a court and approved by a pension plan, that divides a pension plan in order to make a fair division of property or to pay for child or spousal support."
quitclaim deed,A real property deed that transfers only the interest in the property in which the grantor has claim to.
reciprocal wills,"Wills made by two people (usually spouses, but could be ""partners"") in which each gives their estate to the other."
record/record extract,"On appeal, the record consists of a transcript of all or a portion of the proceedings in lower courts, including testimony, pleadings, opinions, etc. "
remand,To send back; return of a case by an appellate court to the trial court for further proceedings.
res judicata,The thing has been decided. The concept that a court will not let you re-litigate a claim it has already decided.
respondent,"The person against whom an appeal is made; the responding party in a dissolution, nullity, adoption, or probate case."
restraining order,A temporary order of a court to keep conditions as they are (like not taking a child out of the county or not selling marital property) until there can be a hearing in which both parties are present. More properly it is called a temporary restraining order (shortened to TRO).
secured debt,"Debt backed by a mortgage, pledge of collateral, or other lien; debt for which the creditor has the right to pursue specific pledged property upon default. Examples include home mortgages, auto loans and tax liens. "
security deposit,"An amount of money given to the landlord that can be used to cover unpaid rent, damages, or cleaning. "
sentencing guidelines,A set of rules and principles established by the United States Sentencing Commission that trial judges use to determine the sentence for a convicted defendant.
separate property,"Property that one of the spouses owned before the marriage. Any inheritance one spouse gets, even during marriage, is separate property. So are personal gifts (unless they came from the other spouse) and payments for personal injuries."
sequester,To separate. Sometimes juries are sequestered from outside influences during their deliberations.
service,Delivering legal papers to a person involved in a legal case.
service by publication,When service of process is done by publishing a notice in a newspaper or by posting on a bulletin board of a courthouse or other public facility after a court determines that other means of service are impractical or have been unsuccessful.
service of process,The delivery of legal papers to the opposing party. The papers must be delivered by an adult aged 18 or older that is not involved in the case and that swears to the date and method of delivery to the recipient.
spousal support,"Court-ordered support of a spouse or ex-spouse; also called ""maintenance"" or ""alimony."""
spouse,Husband or wife.
SSD,Stands for Social Security Disability. A federal insurance program designed to provide income to people who are unable to work because of a disability.
SSI,"Stands for Supplemental Security Income. A federal program designed to help people who have little or no income and are aged, blind, or disabled. SSI provides cash to meet basic needs for food, clothing, and shelter."
stalking,Repeatedly and obsessively harassing someone in alarming or frightening ways.
standard of proof,The degree to which evidence must be convincing in order for the court to consider it as proof of a defendant's guilt.
stare decisis,The doctrine that decisions should stand as precedents for guidance in future cases.
statute,A law passed by a legislature.
statute of limitations,"A law that sets the deadline for parties to file suit to enforce their rights. If the deadline passes, the ""statute of limitations has run"" (or the claim is ""time-barred"") and the injured party may not be allowed to sue. "
sua sponte,"Latin, meaning ""of its own will."" Often refers to a court taking an action in a case without being asked to do so by either side. "
sublease,When you allow someone else to take over your lease for a certain period of time after which you agree take responsibility for the lease again.
subordination,The act or process by which a person's rights or claims are ranked below those of others.
subpoena,"A command, issued under a court's authority, to a witness to appear and give testimony. "
subpoena duces tecum,A command to a witness to appear and produce documents.
subsidy,"Money granted by a government agency to keep a price low. In housing programs, a subsidy is often money paid to a landlord for part of a tenant's rent."
summary judgment,A decision made on the basis of statements and evidence presented for the record without a trial.
supervised release,Term of supervision served after a person is released from prison.
supervised visitation,"Visitation between a parent and a child in the presence of another specified adult. It is usually ordered by a court when there has been domestic violence, child abuse, or a threat to take the child out of state. "
temporary restraining order,"Akin to a preliminary injunction, it is a judge's short-term order forbidding certain actions until a full hearing can be conducted. Often referred to as a TRO. "
tenancy,"The tenant's exclusive right, created by a rental agreement between the landlord and the tenant, to use and possess the landlord's rental unit."
tenancy at will,A right to occupy property for an indefinite period of time. The right is given by the property owner or landlord. Ending a tenancy at will requires the same legal procedure as ending a month-to-month tenancy.
tenant,A person who has the legal right to live in or use a property.
testator,A person who has written a will.
testimony,Evidence presented orally by witnesses during trials or before grand juries.
third-party claim,A claim filed by a defendant who feels that some third party (not yet involved in the case) is responsible and owes him or her money that should be used to satisfy any judgment the plaintiff may win from the defendant.
tort,"A civil, not criminal, wrong. A negligent or intentional injury against a person or property, with the exception of breach of contract. "
trespass,"A wrongful entry, whether with force or peacefully, onto the property of another."
U.S. attorney,A lawyer appointed by the President in each judicial district to prosecute and defend cases for the federal government.
U.S. trustee,"An officer of the U.S. Department of Justice responsible for supervising the administration of bankruptcy cases, estates, and trustees"
uncontested divorce,"When the defendant is not going to try to stop the divorce and there are no issues for the court to decide about children, money, or property. "
undue influence,"The amount of pressure that someone uses to force another to execute a will leaving assets in a particular way, to make a direct gift while alive or to sign a contract. "
unlawful detainer action,A lawsuit brought by a landlord against a tenant to evict the tenant from rental property  usually for nonpayment of rent.
unliquidated claim,A claim for which a specific value has not been determined.
usury,"A rate of interest on a debt that is in excess of the percentage allowed by law. Also called ""loan-sharking."" "
vacate,For a judge to set aside or annul an order that he or she finds improper.
venue,The particular court in which an action may be brought.
verdict,"The decision of a jury after a trial, which must be accepted by the trial judge to be final. A judgment by a judge without a jury is not called a verdict. "
visitation,A plan that says when parents will spend time with their children.
visitation rights,"The right to see a child regularly, typically awarded by the court to the parent who does not live with the child or children most of the time."
voir dire,"Jury selection process of questioning prospective jurors, to ascertain their qualifications and determine any basis for challenge. "
wage garnishment,A legal procedure that requires the employer of a judgment debtor to withhold a portion of the judgment debtor's wages to satisfy a judgment.
wage withholding,"A legal procedure that allows deductions to be made from wages or income on a regular schedule. The deductions are used to pay a debt, like child support."
waiver,"To give up a legal right voluntarily, intentionally, and with full knowledge of the consequences."
without prejudice,A term used when rights or privileges are not waived or lost. A dismissal of a lawsuit without prejudice means a new suit can be brought on the same cause of action if it is within the statute of limitations.
witness,A person called by either side in a lawsuit to give testimony before the judge or jury.
worker's compensation,A program that pays for medical care and provides replacement income to employees with work-related injuries or illness.
writ,"A written court order directing a person to take, or refrain from taking, a certain act. "
writ of attachment,A court order directing a sheriff (or other law enforcement officer) to seize property of a defendant to satisfy a judgment.
writ of certiorari,An order issued by the U.S. Supreme Court directing the lower court to transmit records for a case which it will hear on appeal.
writ of execution,"An order issued by a court requiring the performance of a specified act, or giving authority to have it done. It is used to allow the levying officer the power to take the judgment debtor's property."
writ of possession,"An order of the court directed to the sheriff, requiring him to enter the property and give possession of it to the person entitled to it by judgment of the court. "
wrongful death,A death caused by the intentional or accidental act of another for which a family member can ask for compensation.
wrongful termination,A legal claim that an employee has been illegally fired.
