Word:,Definition:
commissioner,A person appointed by a court to hear and decide certain kinds of cases.
commit,"1. To do something, such as a crime."
commitment order,"A court order that says a person must be kept in custody, usually in a jail or mental institution, for a certain period of time."
commitment,"A judge's order sending someone to jail or prison, upon conviction or before trial (for diagnostic purposes), or directing that a mentally unstable person be confined to a mental institution."
common barratry,Making a habit of starting lawsuits without a good reason.
common carrier,"An individual, a company, or a public utility (like municipal buses) that is in the regular business of transporting people or freight, and must do so as long as the charge or fare is paid."
common law,"Laws that come from court decisions and customs, not from statutes (""codes"") or the constitution."
common property,Property owned by two or more people.
common stock,A class of stock for which dividends (payouts) are calculated on a pro rata basis (according to the number of shares a shareholder owns). Holders of common stock have rights to vote on corporate matters and to receive a share of the assets if the corporation is liquidated.
community obligations,"Community obligations are the debts that the spouses owe together. In most cases, that includes anything still owed on any debts either spouse took on during marriage."
community property,"Community property is everything that the spouses own together. In most cases that includes, all property and profits acquired during marriage except property received by inheritance, gift, or as the profits from separate property owned before marriage."
community service,"A special condition the court imposes, as an alternative to a jail sentence, that requires an individual to work without pay on a project that benefits the community."
commutation,"When a governor (for state convictions) or the President (for federal convictions) reduces a sentence for a criminal conviction. Commutation implies the penalty was excessive or there is evidence of rehabilitation, community service, or other indications of good conduct."
company,"Any for profit business, such as a corporation, partnership, or individual proprietorship."
comparable rectitude,An old doctrine that grants a divorce to the spouse who is least at fault when both spouses have shown fault grounds for divorce. It is a response to an old common law rule that prevented a divorce when both spouses were at fault.
comparative negligence,A rule of law applied in negligence cases in which responsibility and damages are based on the proportional fault of each of the parties directly involved.
compensation,Payment for work performed or damages suffered.
compensatory damages,"Money that one person must pay another to cover the cost of a wrong or injury, such as compensation for lost wages."
competence order,An order from a superior court that says a defendant is mentally fit to go to trial.
competence,"1. The state of being able or qualified to do something, such as to make a will or testify in court."
competent evidence,"Legally admissible evidence that may prove an issue in dispute. In a murder trial, for example, competent evidence might include the murder weapon with the defendant's fingerprints on it."
competent witness,"A person who is legally qualified to testify as a witness. The qualifications may depend on the witness's age, mental capacity, and relationship to the matter at issue."
competent,"Able to perform a job or occupation, or to reason or make decisions, or to stand trial or testify."
complainant,"The person or group who starts a case against another person. In a civil case, the complainant is the plaintiff. In a criminal case, the complainant is the state."
complaint,"The first written statement in a lawsuit, in which the plaintiff's claims against the defendant are listed. Also called the ""initial pleading"" or ""petition."" A complaint is also used to start a criminal case."
compound question,"A single question that actually asks more than one thing. In a trial or deposition, the opposing party can object to such a question. If the objection is sustained, the question must be withdrawn and asked in a series of separate questions."
compromise verdict,A jury verdict that occurs when some jurors compromise their opinions in order to avoid coming to a verdict in disagreement.
compromise,An agreement between opposing sides to settle a dispute or reach an agreement in which each side gives some ground instead of continuing the dispute or going to trial.
compulsory license,A legal arrangement in which a fee is paid so that permission is not required before using someone else's intellectual property.
compulsory,Required
concealed weapon,"A weapon, particularly a handgun, which is kept hidden on one's person or under one's control (in a glove compartment or under a car seat). Carrying a concealed weapon is a crime unless the person with the weapon is a law enforcement officer or has a permit to carry a concealed weapon."
concealment,Not sharing information that should be disclosed in good faith. It can be a cause for cancelling a contract or a civil lawsuit for fraud.
conclusion,"In a trial, the end of all evidence being introduced and final arguments made, so nothing more can be presented, or a final determination of the facts by the jury or judge."
concurrent condition,Part of an agreement that calls for one side to fulfill a specified condition at the same time as the other party fulfills a specified condition.
concurrent sentence,"Prison terms for two or more crimes to be served at the same time, rather than one after the other."
condemn,"1. When a public agency determines that a building is unsafe or unfit for habitation and must be repaired, torn down or rebuilt to meet building and health code requirements."
condemnation action,"A lawsuit brought by a public agency to acquire private property for public purposes (schools, highways, parks, hospitals, redevelopment, civic buildings, for example), or even for private development that has a public benefit. The government has the right to acquire the private property (eminent domain), and the owner has a right under the Constitution to receive just compensation for the land, which will be decided by a court if necessary."
condition precedent,"An event or state of affairs that must happen before something else may be required. In a contract, a condition precedent is an event that must take place before the parties must perform the agreement."
condition subsequent,"An event or state of affairs that, if it happens, changes or cancels an existing arrangement or duty. In a contract, a condition subsequent can often terminate the duty of one party to perform under the agreement."
condition,A term or requirement in a contract that defines the rights and duties of the parties to the contract.
conditional bequest,"In a will, a gift that will occur only if a stated condition is met. For example, a will clause that says ""I give my house to my daughter if she is married."""
conditional ownership,"Ownership in which the owner does not have full right to the property, but could acquire full ownership if specific conditions are fulfilled. Also called contingent ownership."
conditional resident,"Any alien granted permanent resident status on a conditional basis (for example, a spouse of a U.S. citizen or an immigrant investor) who must petition to remove the conditions of his or her status before the second anniversary of the approval date of his or her conditional status."
condominium,"A type of real property ownership in which each owner holds title to his or her individual unit and shares ownership jointly of common areas, such as driveways, parking, elevators, outside hallways, and recreation and landscaped areas. Condominiums are often referred to as a common interest development."
condonation,"One person's approval of another's activities, which may be used as a defense in a fault divorce. For example, if a wife did not object to her husband's adultery even though she was aware of it, and she later tries to use it as grounds for a divorce or the basis for a settlement in her favor, he could counter these efforts by arguing that she had condoned his behavior."
condone,"To forgive, support, or overlook another person's wrong or illegal action."
confess,"In criminal law, to voluntarily say that one is guilty of a crime. A confession must be truly voluntary (not forced by threat, torture, or trickery) and generally cannot be admitted in trial if it is not. If the confession results from custodial questioning, it generally cannot be used at trial unless the defendant was given the so-called Miranda warnings and gave up those rights before questioning."
confession,"When someone says voluntarily, out loud or in writing, that s/he committed a certain crime."
confidence game,A swindle in which the perpetrator obtains money by gaining the victim's trust.
confidential communication,"Information exchanged between two people who (1) have a relationship in which private communications are protected by law, and (2) intend that the information be kept in confidence. Communications between these individuals cannot be disclosed in court unless the protected party agrees. Also known as privileged communication."
confidential record,Information in a court case that is not available to the public.
confidential relation,"A relationship of intimacy and trust, especially one in which one person is in a position of greater knowledge or power."
confirmation hearing,A federal bankruptcy court hearing at which a judge decides if a debtor's proposed debt repayment plan is feasible and meets the legal requirements.
confiscate,"To take private property for public use without reasonable compensation, such as when the government confiscates an automobile used to transport contraband."
conformed copy,"An exact copy of a document filed with a court. To conform a copy, the court clerk will stamp the document with the filing date and add any handwritten notations to the document that exist on the original, including dates and the judge's signature. A conformed copy may or may not be certified, this is, guaranteed by a court or government agency to be a true and exact copy of the original."
conforming loan,A mortgage loan small enough to be bought by Fannie Mae or guaranteed by the Federal Housing Administration.
confrontation,"The right of a criminal defendant, based on the Sixth Amendment to the Constitution, to object to the witness and to cross-examine that witness."
confusingly similar,"In trademark law, when a trademark, logo, or business name is so close to that of an already existing trademark, logo, or name that the public might mistake the new mark for the older one."
conjugal rights,"The intimate rights of marriage, including comfort, companionship, affection, and sex. Some states allow prisoners to have ""conjugal visits,"" including sexual intercourse, with their spouse or partner."
connivance,"Ignoring another person's wrongdoing, for example, by indirectly condoning an illegal act by another person."
consanguinity,"An old-fashioned term referring to the relationship of blood relatives, that is, people who have a common ancestor. Consanguinity exists, for example, between brothers and sisters but not between husbands and wives."
conscientious objector,"A person who refuses to serve in the military due to religious or strong philosophical views against war or killing. Refusing to answer a draft call is a federal felony, but when a person's religious beliefs are long-standing and consistent (as with the Quakers), the objection to service may be excused."
conscious parallelism,"Price-fixing or business practices between competitors that occur without an actual agreement between the competitors. For example, one company raises its price for a service and other competitors do the same."
consecutive sentence,"Two or more sentences of jail time to be served one after another. For example, if a convicted felon was sentenced to two consecutive ten-year terms, the total sentence would be 20 years."
consent decree,"A court order made after all people in the case have made an agreement, if the judge finds it acceptable."
consent divorce,A divorce that is based on the spouses' agreement to the terms of the divorce.
consent,Voluntary agreement by a competent person.
consequential damages,"Damage or injury not caused immediately or directly by a wrongful act, but are a foreseeable consequence of that act."
conservatee,"A person who cannot take care of him/herself, and has a caretaker (called the ""conservator"") to provide or supervise his/her care."
conservator of the estate,A person or business approved by a court to manage the financial matters of a person who cannot do it on his/her own.
conservator of the person,A person or business approved by a court to care for and protect a person who cannot do it on his/her own.
conservator,"Someone approved by a court to care for another person who cannot take care of him/herself, (called a ""conservatee"")."
conservatorship,"In California, a court proceeding in which a judge appoints a caretaker for an adult who is unable to care for him or herself. In other states, called a guardianship."
consign,"To give goods to another to sell; profits from the sale are generally divided between the seller and the original owner, or to give over to the custody or care of another."
consignee,"A person or business to whom something is consigned, typically goods for sale or delivery."
consignment,"The act of entrusting goods to a person or business who will sell them for you (charging a fee or commission for doing so), and return the goods if unsold."
consolidation of actions,When two or more cases that involve the same people are grouped together.
consortium,"The duties and rights associated with marriage. Consortium includes all the tangible and intangible benefits that one spouse derives from the other, including material support, companionship, affection, guidance, and sexual relations. The term may arise in a lawsuit if a spouse brings a claim against a third party for ""loss of consortium"" after the other spouse is injured or killed."
conspiracy,An agreement by two or more people to do something illegal. Proving conspiracy requires evidence that the people agreed to the plan before taking action. Proving criminal conspiracy usually requires evidence of some overt action to carry out the plan.
conspirator,A person who makes an agreement with another person (or people) to do something illegal.
constable,"A peace officer for a particular geographic area (usually a rural county) with the power to serve legal papers, arrest lawbreakers, and keep the peace. In most states, a constable is similar to a marshal or sheriff."
Constitution,"Usually refers to the U.S. Constitution, the fundamental document that establishes the central legal system of our country, including the character and organization of its power and how that power is exercised."
constitutional amendment,"A change to the U.S. Constitution that usually starts as a joint resolution in Congress. To take effect, it must be passed by a two-thirds vote of both the House and the Senate, and then be approved by three-quarters of the state legislatures."
constitutional rights,"Rights given or available to people by the U. S. Constitution, and in particular, the Bill of Rights."
constitutional tort,A violation of one's constitutional rights by a government servant.
construction,"The interpretation of a statute, law, contract, or will when there is some ambiguity or question about its meaning. Strict, or narrow, construction means considering only the literal words. Broad, or liberal, construction, means considering societal and situational meanings in addition to the language."
constructive discharge,When an employee quits a job because the working conditions were so intolerable that a reasonable person in the same situation would also quit.
constructive eviction,"When a landlord provides housing that is so substandard that s/he has effectively evicted the tenant without following eviction procedures. For example, if the landlord refuses to provide heat or water or refuses to clean up an environmental health hazard, the tenant has the right to move out and stop paying rent, and cannot be held liable for breaking the lease."
constructive fraud,"When circumstances show that someone's unfair actions, such as lying or not giving important information) give him/her an unfair advantage over someone else. The court may decide to treat the situation as fraud even if all the technical elements of fraud have not been proven."
constructive possession,"When a person does not actually have possession, but has the ability to control an asset, s/he has constructive possession. Having the key to a safe deposit box, for example, gives the key holder constructive possession."
constructive trust,A relationship that arises when someone has wrongfully obtained title to or possession of assets and has a legal duty to deliver them to the rightful owner.
constructive,a legal way of treating a situation as if it were actually another.
construe,"To determine the meaning of a written document, law, or legal decision, based on rules of legal interpretation."
consulate,"U.S. consulates are branch offices of U.S. embassies, located all over the world. Most consulates accept and process nonimmigrant and immigrant (green card) visa applications."
consumer bankruptcy,A bankruptcy case filed to reduce or eliminate debts that are mostly debts for goods and services.
Consumer Credit Protection Act (CCPA),Federal law that includes a requirement to limit how much money can be taken from someone’s paycheck to pay for child support.
consumer credit,"A person's ability to borrow or charge fees owed for consumer goods or services that s/he purchases. Consumer credit includes credit card purchases, lines of credit, installment agreements, and many other types of loans."
consumer debts,"Debts incurred for personal, as opposed to business, needs."
consumer report,"Information provided by a consumer reporting agency about a person's creditworthiness, character, personal characteristics, or lifestyle, often used in employment decisions, to decide whether to grant the person credit, to decide whether to rent to the person, or for other legitimate business purposes. Examples of consumer reports include criminal background checks and credit reports. To get a consumer report, the requester must follow the procedures in the Fair Credit Reporting Act."
consummation,"The actualization of a marriage. Sexual intercourse is required to ""consummate"" a marriage. Not consummating the marriage is grounds for divorce or annulment."
contempt,Ignoring or disobeying a court order on purpose. Contempt of court can be punished with a fine and/or jail.
contest,"To oppose, dispute, or challenge using a formal or legal procedure. For example, a defendant in a divorce may contest the plaintiff's requests."
contested hearing,"If there is no agreement between the people in the case, there may be a trial, called a contested hearing."
contested,A case is contested when the parties disagree with each other about what should happen.
contiguous to,next to
contingency,"A condition in a contract that says the contract can be cancelled if a specific condition is not met. For example, if an inspection of a property shows there is significant damage, the buyer does not have to complete the purchase."
contingent annuity,When the amount or the payee of an annuity is not certain and depends on a specific future event.
contingent beneficiary,"An alternate beneficiary named in a will, trust, or other document or a person entitled to property in a will if certain conditions are met. For example, if Fred is entitled to property from a will only if he's married at the time of the will maker's death, Fred is a contingent beneficiary."
contingent claim,"A claim that may be owed by the debtor under certain circumstances, e.g., where the debtor is a cosigner on another person's loan and that person fails to pay."
contingent fee,"A method of paying a lawyer by which the lawyer receives a percentage of the money his/her client obtains after settling or winning the case. Contingency fee agreements are most commonly used in personal injury cases; the lawyer may charge between 20% and 50% of the award. Lawyers representing criminal defendants may not charge contingency fees. In most states, contingency fee agreements must be in writing."
contingent interest,"An right to some asses that depends on a specified condition. For example, Mama leaves her ""interest in business to Son, only if he is still living in Dallas when she dies."""
contingent remainder,A right to some asset in the future where either the future owner is not yet determined or ownership of the property is dependent on certain conditions.
contingent trust,"A trust that is not operational now, but will become operational when some specified thing happens, such as the birth of a child."
contingent will,A will that only takes effect if specific conditions occur.
contingent,Dependent on something else.
continuance,"Postponing a court case to a later date. Some states have approved ""fast track"" rules that limit the judges' ability to approve these postponements."
continuing exclusive jurisdiction,"Based on the assumption that there should be only one valid child support order at a time, continuing exclusive jurisdiction allows another court to control the existing child support order before that court until another court takes it away."
continuing objection,"An objection to certain questions or testimony in a trial that a judge has overruled, but the objecting lawyer wants his/her objection to all similar questions on the topic to be noted in the record."
continuing trespass,"A repeated or ongoing trespass (unlawful entry or possession), especially on real property. For example, building a road or structure that extends onto a neighbor's property, or piling up rocks or garbage there, would be a continuing trespass."
contraband,"Property that is illegal to have produce, distribute, or transport."
contract,An agreement between 2 or more people or organizations to do or not to do a particular thing.
contribution,"A payment to a common fund, or a donation to a charitable organization given without expecting anything in return."
contributory negligence,"When a person is harmed by his/her own negligence, s/he may not be able to collect money for his/her injury if the negligence was significant (varies with jurisdiction)."
control,"The authority to direct, manage, oversee, or limit the affairs, business, or assets of a person or entity."
controlled substance,"A drug that has been declared by federal or state law to be illegal for sale or use, but may be dispensed by prescription. The basis for control and regulation may be the danger of addiction, physical or mental harm, the potential for trafficking by illegal means, or dangers posed by those who have used the substances."
controlling law,"The laws that are relied on in interpreting or judging disputes. For example, an agreement may include a condition that the controlling law will be the law of a particular state."
controversy,"A disagreement, argument, or dispute."
contumacy,The refusal to follow a court order; contempt of court.
contutor,A co-guardian of a ward.
conversion,"Wrongfully using, holding, or misrepresenting another person's personal property as if it were one's own. The true owner has the right to sue, and the converter may be found guilty of a crime."
convey,To give the title to property to someone else through a written document.
conveyance,"A document, such as a deed or will, that transfers property from one person to another."
conveyee,A person or entity to whom a property is conveyed.
convict,To find or prove someone guilty of a crime or offense after a court trial.
conviction,When a judge or jury finds a criminal defendant guilty.
cookie,Information that a website puts on a visitor's hard drive so that the website can retrieve the information when the visitor returns to the site.
cooperative housing,"An arrangement in which an association or corporation owns a group of housing units as well as common areas for those units. Typically, each owner owns his or her unit and has a right to access the common areas, and to vote for members of the Board of Directors that manages the cooperative."
cooperative,"An association of people, businesses, farmers, ranchers, or manufacturers who work together in marketing, shipping, and related activities (sometimes under a single brand name) to sell their products efficiently, and then share the combined profits. Cooperatives are democratically owned and operated."
coordination of cases,When cases sharing common questions of fact or law pending in different counties are brought together before 1 judge so that the decisions will be consistent. The cases do not have to involve the same parties.
coparcenary,"A type of joint ownership resulting from intestacy in which female heirs inherit property, in equal shares, from a single ancestor."
copyright notice,"A formal notice that includes the copyright symbol © or the word copyright, the date of publication, and the author or owner's name on published copies of a copyrighted work. Works first published after March 1, 1989 can be considered copyrighted even if there is no copyright notice. A notice is still useful; it reminds others that the work is copyrighted, and steers a would-be user in the right direction to obtain permission."
copyright office,"The branch of the Library of Congress that issues regulations, processes applications to register copyrights, and accepts and (sometimes) stores deposits related to registration. The Copyright Office also issues opinions on whether certain kinds of works have copyright protection."
copyright owner,"The person or entity that has legal control over all (or some) of the rights granted under copyright law, usually the author of the work."
copyright registration,"A public record that shows a work has been recorded on a certain date by its owner. Registration gives strategic benefits in case of an infringement action, as there is a presumption that the registered owner is the rightful owner of the work."
copyright,"A set of exclusive rights that the author of a creative work, such as book, movie, song, painting, photograph, design, computer software, or architecture enjoys. These rights include the right to make copies, authorize others to make copies, make derivative works, sell and market the work, and perform the work. Any one of these rights can be sold or licensed. Copyright rights are acquired automatically if the first work was created after March 1, 1989. Registration of the work with the Copyright Office give the copyright owner certain benefits."
coram nobis,"A legal paper that tells a court about its mistakes in the facts of the case. Comes from the Latin for ""before us, in our presence."""
coroner,"A county official who determines the cause of death of anyone who dies violently (by attack or accident), suddenly, or suspiciously."
corporate charter,"A document filed with state authorities (usually the Secretary of State or Division of Corporations, depending on the state) to form a corporation. In most states, the charter includes the name and purpose of the corporation, its principal place of business, the names of its directors and officers, and the amounts and types of stock it is authorized to issue. In most states, this document is called the articles of incorporation."
corporate opportunity,A business opportunity that becomes known to a director or officer of business because of his or her position in the business. That person owes a duty of loyalty to the business not to use the opportunity or knowledge for his or her own benefit unless the company gives its permission.
corporate resolution,"A written document that describes an action taken and approved by the board of directors of a corporation. For example, if a corporation issues a stock dividend, the declaration of the dividend is a corporate resolution. A board might also pass a resolution to take out a loan, buy or sell real estate, amend the corporate bylaws, or issue more stock. Resolutions are recorded in the corporate minutes."
corporate trustee,A bank or other financial institution that provides trustee services for trusts.
corporation,"A legal structure that allows a business to organize as a separate legal entity from its owner(s). A corporation is sometimes called an ""artificial legal person,"" that can make contracts, sue and be sued, and do the many other things needed to conduct business. With the exception of taxes, a corporation's owners are legally protected from personal liability for the corporation's liabilities and debts."
corporeal ownership,"The ownership of actual things, such as land, money, or a business."
corporeal,A thing that has a physical existence. Also called tangible.
corroborate,"To confirm or reinforce the testimony of another witness, especially in a trial."
corroborating evidence,"Evidence that strengthens, adds to, or confirms already existing evidence."
corroborating witness,A witness whose testimony supports or confirms testimony already given.
cosign,"To sign a document, such as a loan or lease, with another person in order to share responsibility for the obligation."
cosigner,"A person who signs a loan agreement, lease, or other document to indicate s/he will be fully responsible for the specified loan or debt if the primary signer does not pay. Many people need a cosigner to qualify for a loan or credit card. Landlords may require a cosigner when renting to a student.."
cost bill,A list of court costs that the winning party in a lawsuit submits to the court. The law limits what can be included in a cost bill.,,verb
costs,Fees and charges that a party pays to file and present a court case or to enforce a judgment.,,noun
cotenancy,When two or more people are legal tenants of the same property at the same time.
cotenants,"Two or more tenants who rent or lease the same property under the same agreement. Each cotenant is 100% responsible (also called joint and severally liable) for obeying the rental agreement, including paying the entire rent and for any damage caused by any of the tenants. If one cotenant violates the lease, the landlord may evict all of them."
cotrustee,One of two or more trustees serving at the same time. The trust document specifies if the cotrustees may have to act together or if each may act independently.
counsel,To give legal advice.
countable resource,Property that SSI and Medicaid consider available to an applicant or recipient when calculating that person's eligibility for benefits.
counterclaim,An independent charge by one side in a case that goes against the claim made by the other side.
counterfeit,"To fraudulently make money, a document, art, or other item which is forged or created to look real, and intended to pass for real."
counteroffer,"The rejection of an offer that simultaneously makes a different offer, changing the terms of the original offer in some way. The legal significance of a counteroffer is that it completely voids the original offer."
counterpart,"In contract law, a document that is one of two or more documents that make up a contract, such as a written offer and a written acceptance. If the parties are in different places, a contract may be signed in counterparts that contain the same text, but each counterpart is signed by a different party."
county attorney,A lawyer who represents a county in civil matters and litigates violations of county ordinances.
court calendar,"A list of the cases and hearings that will take place in a court on a particular day, week, or month. A court calendar is sometimes called a docket, trial schedule, or trial list."
court costs,"The fees charged for using the services of a court, such as filing fees, fees for serving court papers, fees to pay a court reporter to transcribe depositions, photocopy court papers, etc."
court order,"A legal decision made by a court that commands or directs that something be done or not done. Can be made by a judge, commissioner, court referee, or magistrate."
court reporter,"A person who makes a word-for-word record of what is said in court, usually with a stenographic machine, shorthand or audio recording, and then produces a transcript of the proceedings upon request."
court witness,"A witness called by the court. For example, a judge may call an expert witness to clarify an issue for the court."
court-martial,"1. A military court that decides cases involving military members who have disobeyed the Uniform Code of Military Justice. 2. The act of charging a member of the military with disobeying a military law."
court,"A judge or group of judges whose job is to hear cases and carry out justice. Judges sometimes use ""court"" to refer to themselves in the third person, as in ""the court has read the briefs."""
courtesy notice,"A notice sent after a traffic violation to tell a defendant about a court date, bail, etc."
covenant marriage,"A kind of marriage available only in Arizona, Arkansas, and Louisiana, in which the spouses promise to participate in marriage counseling before filing for divorce, and agree to a longer waiting period before the divorce can be final."
covenant,"An agreement, contract, or written promise between two people or organizations that contains a pledge or promise to do or not do something. In the case of real property, covenants are found in deeds or in documents that bind everyone who owns land in a particular development."
cramdown,"In Chapter 13 bankruptcy, a reduction in the amount of a secured debt that the debtor must pay based on a replacement value that is lower than the debt. For example, if a debtor owes $5,000 on a car worth only $3,500, a cramdown would reduce the amount of the debt to be paid in Chapter 13 to $3,500."
credibility,How believable someone or something is
credible witness,"A witness whose testimony is believable based on his or her experience, knowledge, training, and appearance of honesty and forthrightness."
credit counseling,"Generally refers to two events in bankruptcy cases: (1) individual briefing that debtors must go to before they can file for bankruptcy, (2) an educational course in personal financial management that an individual debtor must complete before the court can discharge any of his/her debt."
credit insurance,"An insurance policy that some lenders require to cover a loan. If the borrower dies or becomes disabled before paying off the loan, the policy will pay off the remaining balance."
credit report,"A written account of a consumer's credit history prepared by a credit reporting agency. Credit reports generally include information on loans, credit cards, and other bills and accounts, as well as a record of the consumer's addresses and employers. To get and use a consumer's credit report, a business must follow the procedures of the Fair Credit Reporting Act."
credit score,"A score that creditors use to evaluate the creditworthiness of someone applying for credit, such as a mortgage or credit card. High credit scores (over 700) indicate a lower risk of defaulting on payments; low scores (under 400) indicate potential problems. Credit scores are based on information in your credit report, such as bill-paying history and unpaid debt. The biggest credit scoring company is Fair Isaac Corporation (FICO)."
credit union,A cooperative financial institution owned and controlled by its members and operated for the purpose of promoting savings with fair interest rates and offering loans at reasonable rates. The National Credit Union Administration (NCUA) charters and supervises federal credit unions.
credit,1. The ability to borrow money.
creditor's claim (bankruptcy),1. A written claim filed in federal bankruptcy court by a person or entity owed money by a debtor who has filed for bankruptcy.
creditor's rights,The legal procedures and rights available to creditors for collecting debts and judgments.
creditor,A person or business that is owed a debt (usually money).
crime,"A behavior that has been defined by the state as deserving of punishment, which usually includes time in jail or prison and fines."
criminal attorney,A lawyer who specializes in representing people charged with a crime. Also called defense attorney.
criminal calendar,"The list of criminal cases on a court's schedule on any given day. A criminal calendar may include arraignments, bail settings, sentencing hearings, hearings to review reports from probation officers, appointing public defenders or other attorneys, etc."
criminal insanity,A defense (uncommon in the U.S.) based on a claim that a defendant who did not know what s/he was doing because (mens rea) of his/her psychiatric illness is not responsible for a crime and should not be punished as if s/he were sane.
criminal procedure,"A generic term for the procedures of criminal investigations, arrests, evidence collection, charges, defenses, trials, sentences, and punishments."
criminal,Someone who has been convicted of a felony or a misdemeanor.
cross-complaint,"Sometimes called a cross-claim, legal paperwork that a defendant files to start a lawsuit against the original plaintiff, a codefendant, or someone who is not yet named in the lawsuit. A cross-complaint must be related to the same events that gave rise to the original case."
cross-defendant,The defendant in a cross-claim.
cross-examination,The testimony a witness gives when the other side’s lawyer is questioning the witness.
culpable,Blameworthy. Sufficiently responsible for criminal acts or negligence to be at fault and liable for the conduct.
cumis counsel,"A lawyer hired by a defendant in a case where an insurance policy supposedly covers the claim, but the insurance company is denying full or partial coverage because of a conflict of interest between the insurance company and the defendant."
cure,"To correct a violation or defect. For example, a landlord's cure or quit notice gives the tenant a certain amount of time to cure a lease violation before the landlord starts an eviction case."
custodial interference,"Taking a child from a parent as a way of interfering interfere with that parent's physical custody of the child. This is a crime in most states, even if the taker also has custody rights."
custodial parent,"The parent who has sole or primary care, custody, and control of a child."
custody list,"A list that the county jail makes every day to tell the court the names of the people in custody who have hearings that day. Also called a ""transportation list."""
custody mediation,"A meeting with a trained, neutral third party who helps parents try to agree on a parenting plan for their children."
custody order,"A court order that says who a child will live with, who should make decisions about the child's welfare and whether anyone else has the right to visit with the child. "
cybersquatting,"Acquiring a business name, trademark, or celebrity name as a domain name with the hope of selling it to the disadvantaged. "
damages,Money that a defendant pays a plaintiff in a civil case if the plaintiff wins. Damages may be compensatory (compensate for loss or injury) or punitive punish and deter future misconduct).
date rape,Forced sexual intercourse during a social engagement in which one of the two resisted the sexual activity. The fact that the two people knew each other or were together willingly are not legal defenses to a charge of rape.
de facto,"Latin for ""in fact"" or ""actually."" Something that exists in fact but not as a matter of law."
de minimis,"Of little importance. Usually refers to something so small, whether in dollar terms or importance that the law will not consider it."
de novo,"Latin for ""anew."" A trial de novo is a completely new trial."
deadly weapon,"A gun or other instrument or object that is used or intended to be used in a way that is likely to kill. A prosecutor who charges a defendant with ""assault with a deadly weapon"" must prove not only that the defendant assaulted the victim, but did so with an object that was capable of killing."
dealer,Anyone who buys goods or property for the purpose of selling those goods or property as a business.
death benefit,Insurance or pension money payable to the dead person's designated beneficiary.
death penalty,The sentence of execution for murder and some other capital crimes.
death row,The part of a prison that houses prisoners who have been sentenced to death.
death taxes,Taxes charged at death that are based on the value of property left behind. The two main types of death taxes in the U.S. are estate taxes and inheritance taxes.
debenture,A type of bond that does not require a specific property as security. Its repayment is guaranteed only by the general credit of the issuer.
debt collector,A company or person who tracks down debtors and tries to get them to pay what they owe.
debt,1. The amount a person owes to others.
debtor's plan,A detailed description of how a debtor intends to pay creditors' claims over a certain period of time.
debtor,A person or business that owes a debt (usually money).
decedent,"In criminal law, it means a murder victim; in probate law, it means a dead person."
deceit,A misrepresentation made by someone on purpose and with the intent to deceive another. Deceit is a civil wrong (tort).
decide,"To make a decision about who is right and wrong in a legal matter after looking at the facts and the law. Judges, hearing officers, magistrates, and arbitrators all may decide the outcome of cases that come before them."
decision,A court’s judgment or decree that settles a dispute.
declarant,A person who signs a statement or declaration saying that the information in the statement is true.
declaration,A statement (usually written) that includes words that say the person who makes the statement (the declarant) does so under penalty of perjury.
declaratory judgment,"A judge's statement about someone's rights. For example, a plaintiff may ask the court for a declaratory judgment that a particular law violates some constitutional right."
decree,A court's final order that settles all issues in a case. This term is often used in probate and divorce cases.
decriminalization,"To change or void laws that made certain acts criminal, so that they are no longer are crimes."
deductible,An amount of money that the insured person must pay on his/her own. Most policies limit the deductible amounts the insured person pays each year.
deduction,"In tax law, an amount of money that a person or business can subtract from its gross income."
deed,A legal paper that transfers ownership of real estate and is recorded in the local land records.
deem,"To consider, think or judge."
defalcation,When someone who manages funds for another does not account for or release those funds to the fund owner.
defamation,"A false statement that harms a person's reputation. If the statement is published, it is libel; if spoken, it is slander."
default judgment,A court decision in favor of the plaintiff that happens because the defendant does not answer or go to the court hearing s/he was told about.
default,"If a defendant in a civil case receives legal notice, but does not file an answer at court by the deadline and does not go to the court hearing, s/he is ""in default."" When this happens the court can decide the case without the defendant's input."
defeasance,To cancel or undo a part of a legal document because the condition required by the document is not fulfilled. For example: a will may say that a gift is defeasible (cancelled) if the beneficiary does not marry by a certain time.
defect,"An imperfection in a product, process, or document that makes it unusable or harmful. For example, a defect in a deed or title may invalidate the document, making it impossible to sell the property."
defendant,"For civil cases, such as divorce, the spouse of the person who asks the court for the divorce. In some states, the word respondent is used."
defense attorney,"In a criminal case, the lawyer who represents the defendant."
defense,"For civil cases, such as eviction, the facts and arguments that the defendant gives the court to support and prove his/her case."
deferred compensation,An arrangement in which income is paid later than is usually done. This is often done for some tax benefit.
